latitude,longitude,Emmisions
33.866806,-83.074081,GHG emissions mtons CO2e
33.921026,-84.867162,GHG emissions mtons CO2e
32.571324,-83.831978,GHG emissions mtons CO2e
34.456813,-84.490339,GHG emissions mtons CO2e
31.353988,-82.210427,GHG emissions mtons CO2e
33.090768,-84.386627,GHG emissions mtons CO2e
33.996015,-85.188338,GHG emissions mtons CO2e
32.238794,-83.481855,GHG emissions mtons CO2e
33.32106,-83.37179,GHG emissions mtons CO2e
31.862948,-85.004801,GHG emissions mtons CO2e
34.883949,-83.404859,GHG emissions mtons CO2e
31.762651,-84.752311,GHG emissions mtons CO2e
33.361487,-82.074998,GHG emissions mtons CO2e
33.652081,-84.02637,GHG emissions mtons CO2e
32.263441,-84.322724,GHG emissions mtons CO2e
32.744751,-81.617585,GHG emissions mtons CO2e
30.933894,-84.867592,GHG emissions mtons CO2e
33.262389,-84.286067,GHG emissions mtons CO2e
34.552914,-83.290216,GHG emissions mtons CO2e
32.073225,-84.834912,GHG emissions mtons CO2e
32.042198,-84.20426,GHG emissions mtons CO2e
32.704603,-84.530029,GHG emissions mtons CO2e
33.559319,-82.875272,GHG emissions mtons CO2e
32.043768,-82.059208,GHG emissions mtons CO2e
32.554667,-84.251426,GHG emissions mtons CO2e
31.913639,-82.931062,GHG emissions mtons CO2e
31.777191,-84.439446,GHG emissions mtons CO2e
30.864606,-83.91982,GHG emissions mtons CO2e
31.457003,-83.525931,GHG emissions mtons CO2e
32.126698,-82.332071,GHG emissions mtons CO2e
34.902529,-83.732264,GHG emissions mtons CO2e
32.409586,-82.570882,GHG emissions mtons CO2e
33.034482,-85.02836,GHG emissions mtons CO2e
31.7248,-83.620319,GHG emissions mtons CO2e
32.665847,-83.425879,GHG emissions mtons CO2e
34.833333,-83.989257,GHG emissions mtons CO2e
32.881837,-84.292281,GHG emissions mtons CO2e
34.735827,-85.305385,GHG emissions mtons CO2e
33.783887,-83.731829,GHG emissions mtons CO2e
31.050881,-82.421507,GHG emissions mtons CO2e
33.419169,-82.688012,GHG emissions mtons CO2e
32.971848,-82.798112,GHG emissions mtons CO2e
31.547845,-81.912376,GHG emissions mtons CO2e
32.046691,-84.553828,GHG emissions mtons CO2e
32.105268,-82.733865,GHG emissions mtons CO2e
34.643776,-83.743417,GHG emissions mtons CO2e
34.801726,-84.968541,GHG emissions mtons CO2e
31.962717,-83.438262,GHG emissions mtons CO2e
33.779031,-82.747921,GHG emissions mtons CO2e
32.804266,-83.175512,GHG emissions mtons CO2e
31.551773,-83.84996,GHG emissions mtons CO2e
19.597764,-155.502443,GHG emissions mtons CO2e
21.461365,-158.201974,GHG emissions mtons CO2e
21.218764,-156.97401,GHG emissions mtons CO2e
22.012038,-159.705965,GHG emissions mtons CO2e
20.855931,-156.60155,GHG emissions mtons CO2e
43.451477,-116.244376,GHG emissions mtons CO2e
44.877004,-116.461624,GHG emissions mtons CO2e
42.692921,-112.228982,GHG emissions mtons CO2e
42.285892,-111.327517,GHG emissions mtons CO2e
47.218451,-116.633541,GHG emissions mtons CO2e
43.216357,-112.399206,GHG emissions mtons CO2e
